12, 00000000, 00000000,                60620,                  164
07, bdb6007b, 4249ff84,                60791,                  171
07, 00000000, 00000000,                60956,                  165
0d, 0fe2cb1f, f01d34e0,                61126,                  170
0d, 00000000, 00000000,                61290,                  164
19, da4f66b4, 25b0994b,                61461,                  171
19, 00000000, 00000000,                61625,                  164
0f, 421f2d84, bde0d27b,                61795,                  170
0f, 00000000, 00000000,                61960,                  165
15, ddee60bb, 22119f44,                62131,                  171
15, 00000000, 00000000,                62295,                  164
0a, bd84a87b, 427b5784,                62466,                  171
0a, 00000000, 00000000,                62631,                  165
00, c190f083, 3e6f0f7c,                62801,                  170
00, 00000000, 00000000,                62965,                  164
0b, a2b5b245, 5d4a4dba,                63135,                  170
0b, 00000000, 00000000,                63300,                  165
05, 2ce20159, d31dfea6,                63470,                  170
05, 00000000, 00000000,                63634,                  164
02, e6fa7ccd, 19058332,                63804,                  170
02, 00000000, 00000000,                63968,                  164
14, 5b7083b6, a48f7c49,                64139,                  171
14, 00000000, 00000000,                64303,                  164
18, d685eaad, 297a1552,                64473,                  170
18, 00000000, 00000000,                64637,                  164
06, bde6187b, 4219e784,                64808,                  171
06, 00000000, 00000000,                64973,                  165
0f, 421f2d84, bde0d27b,                65143,                  170
0f, 00000000, 00000000,                65308,                  165
13, 93bb0627, 6c44f9d8,                65479,                  171
13, 00000000, 00000000,                65644,                  165
15, ddee60bb, 22119f44,                65814,                  170
15, 00000000, 00000000,                65978,                  164
17, 230fff46, dcf000b9,                66148,                  170
17, 00000000, 00000000,                66313,                  165
0c, 69ddafd3, 9622502c,                66484,                  171
0c, 00000000, 00000000,                66648,                  164
1c, 2795954f, d86a6ab0,                66819,                  171
1c, 00000000, 00000000,                66983,                  164
16, 621e83c4, 9de17c3b,                67153,                  170
16, 00000000, 00000000,                67318,                  165
1f, 6358fbc6, 9ca70439,                67488,                  170
1f, 00000000, 00000000,                67653,                  165
07, 15a7eb2b, ea5814d4,                67824,                  171
07, 00000000, 00000000,                67989,                  165
10, b15fbe62, 4ea0419d,                68160,                  171
10, 00000000, 00000000,                68324,                  164
09, beefc67d, 41103982,                68495,                  171
09, 00000000, 00000000,                68659,                  164
00, 1346e526, ecb91ad9,                68829,                  170
00, 00000000, 00000000,                68993,                  164
13, 71fab3e3, 8e054c1c,                69164,                  171
13, 00000000, 00000000,                69329,                  165
0a, 8e4b9e1c, 71b461e3,                69500,                  171
0a, 00000000, 00000000,                69665,                  165
1d, 1b8e0737, e471f8c8,                69836,                  171
1d, 00000000, 00000000,                70001,                  165
06, bde6187b, 4219e784,                70172,                  171
06, 00000000, 00000000,                70337,                  165
0d, 0fe2cb1f, f01d34e0,                70507,                  170
0d, 00000000, 00000000,                70671,                  164
0f, 421f2d84, bde0d27b,                70841,                  170
0f, 00000000, 00000000,                71006,                  165
08, f76a06ee, 0895f911,                71176,                  170
08, 00000000, 00000000,                71340,                  164
