W_Addr, W1[31:0], W0[31:0], total_time(ps), write_delay(ps)
0d, 8f1cf61e, 70e309e1,                42822,                  146
0d, 00000000, 00000000,                42990,                  168
18, 7679fdec, 89860213,                43141,                  151
18, 00000000, 00000000,                43308,                  167
06, 68ae1bd1, 9751e42e,                43455,                  147
06, 00000000, 00000000,                43625,                  170
1b, a0c02441, 5f3fdbbe,                43773,                  148
1b, 00000000, 00000000,                43943,                  170
13, 6c44f9d8, 93bb0627,                44086,                  143
13, 00000000, 00000000,                44256,                  170
1b, ab196256, 54e69da9,                44400,                  144
1b, 00000000, 00000000,                44570,                  170
04, f166fae2, 0e99051d,                44719,                  149
04, 00000000, 00000000,                44886,                  167
18, 39ac0373, c653fc8c,                45037,                  151
18, 00000000, 00000000,                45204,                  167
18, 093e4d12, f6c1b2ed,                45351,                  147
18, 00000000, 00000000,                45518,                  167
05, 9c811239, 637eedc6,                45666,                  148
05, 00000000, 00000000,                45835,                  169
0b, d0c5dca1, 2f3a235e,                45979,                  144
0b, 00000000, 00000000,                46149,                  170
08, 40905d81, bf6fa27e,                46296,                  147
08, 00000000, 00000000,                46463,                  167
01, 13b55527, ec4aaad8,                46608,                  145
01, 00000000, 00000000,                46777,                  169
04, 8f8c6e1f, 707391e0,                46924,                  147
04, 00000000, 00000000,                47091,                  167
16, 2c2d2358, d3d2dca7,                47240,                  149
16, 00000000, 00000000,                47410,                  170
12, 0a6e9314, f5916ceb,                47555,                  145
12, 00000000, 00000000,                47725,                  170
11, cb227096, 34dd8f69,                47870,                  145
11, 00000000, 00000000,                48039,                  169
0d, 2ac2d555, d53d2aaa,                48188,                  149
0d, 00000000, 00000000,                48356,                  168
15, 158b2b2b, ea74d4d4,                48506,                  150
15, 00000000, 00000000,                48674,                  168
07, 56b403ad, a94bfc52,                48820,                  146
07, 00000000, 00000000,                48990,                  170
07, 4249ff84, bdb6007b,                49133,                  143
07, 00000000, 00000000,                49303,                  170
19, f3d7a6e7, 0c285918,                49453,                  150
19, 00000000, 00000000,                49621,                  168
1b, a4da5649, 5b25a9b6,                49765,                  144
1b, 00000000, 00000000,                49935,                  170
11, 64ba0fc9, 9b45f036,                50081,                  146
11, 00000000, 00000000,                50250,                  169
0a, d0bc5ea1, 2f43a15e,                50398,                  148
0a, 00000000, 00000000,                50568,                  170
05, 7d2a45fa, 82d5ba05,                50714,                  146
05, 00000000, 00000000,                50883,                  169
1c, 41a10583, be5efa7c,                51034,                  151
1c, 00000000, 00000000,                51201,                  167
1e, b9461472, 46b9eb8d,                51346,                  145
1e, 00000000, 00000000,                51515,                  169
0f, b455f268, 4baa0d97,                51662,                  147
0f, 00000000, 00000000,                51832,                  170
10, 43460d86, bcb9f279,                51982,                  150
10, 00000000, 00000000,                52149,                  167
00, 1c719738, e38e68c7,                52298,                  149
00, 00000000, 00000000,                52465,                  167
16, 94097628, 6bf689d7,                52613,                  148
16, 00000000, 00000000,                52783,                  170
00, e2bf1ac5, 1d40e53a,                52932,                  149
00, 00000000, 00000000,                53099,                  167
19, 3a625f74, c59da08b,                53249,                  150
19, 00000000, 00000000,                53417,                  168
1c, d86a6ab0, 2795954f,                53565,                  148
1c, 00000000, 00000000,                53732,                  167
02, 1521932a, eade6cd5,                53879,                  147
02, 00000000, 00000000,                54049,                  170
01, 0aec3515, f513caea,                54194,                  145
01, 00000000, 00000000,                54363,                  169
03, 0be29d17, f41d62e8,                54506,                  143
03, 00000000, 00000000,                54676,                  170
06, 64b5e3c9, 9b4a1c36,                54821,                  145
06, 00000000, 00000000,                54991,                  170
01, 1297cb25, ed6834da,                55136,                  145
01, 00000000, 00000000,                55305,                  169
1a, c69da28d, 39625d72,                55454,                  149
1a, 00000000, 00000000,                55624,                  170
0c, 03d62707, fc29d8f8,                55774,                  150
0c, 00000000, 00000000,                55941,                  167
11, 060a5d0c, f9f5a2f3,                56090,                  149
11, 00000000, 00000000,                56258,                  168
16, 9de17c3b, 621e83c4,                56403,                  145
16, 00000000, 00000000,                56573,                  170
1e, fbdfc2f7, 04203d08,                56719,                  146
1e, 00000000, 00000000,                56888,                  169
15, ae78585c, 5187a7a3,                57034,                  146
15, 00000000, 00000000,                57202,                  168
00, 902a3a20, 6fd5c5df,                57351,                  149
00, 00000000, 00000000,                57518,                  167
14, 39600972, c69ff68d,                57669,                  151
14, 00000000, 00000000,                57836,                  167
0d, 6e8af5dd, 91750a22,                57985,                  149
0d, 00000000, 00000000,                58153,                  168
19, 25b0994b, da4f66b4,                58303,                  150
19, 00000000, 00000000,                58471,                  168
1d, cf63da9e, 309c2561,                58618,                  147
1d, 00000000, 00000000,                58786,                  168
0f, bde0d27b, 421f2d84,                58932,                  146
0f, 00000000, 00000000,                59102,                  170
03, 81c39a03, 7e3c65fc,                59245,                  143
03, 00000000, 00000000,                59415,                  170
11, 0e92431d, f16dbce2,                59564,                  149
11, 00000000, 00000000,                59732,                  168
15, 22119f44, ddee60bb,                59878,                  146
15, 00000000, 00000000,                60047,                  169
0d, f01d34e0, 0fe2cb1f,                60196,                  149
0d, 00000000, 00000000,                60364,                  168
18, 297a1552, d685eaad,                60515,                  151
18, 00000000, 00000000,                60682,                  167
12, 46dcb78d, b9234872,                60827,                  145
12, 00000000, 00000000,                60997,                  170
06, 4219e784, bde6187b,                61144,                  147
06, 00000000, 00000000,                61314,                  170
10, c63a928c, 39c56d73,                61464,                  150
10, 00000000, 00000000,                61631,                  167
0a, 0beac117, f4153ee8,                61779,                  148
0a, 00000000, 00000000,                61949,                  170
0a, 427b5784, bd84a87b,                62094,                  145
0a, 00000000, 00000000,                62264,                  170
00, 3e6f0f7c, c190f083,                62410,                  146
00, 00000000, 00000000,                62577,                  167
0b, 5d4a4dba, a2b5b245,                62721,                  144
0b, 00000000, 00000000,                62891,                  170
05, d31dfea6, 2ce20159,                63037,                  146
05, 00000000, 00000000,                63206,                  169
02, 19058332, e6fa7ccd,                63350,                  144
02, 00000000, 00000000,                63520,                  170
14, a48f7c49, 5b7083b6,                63671,                  151
14, 00000000, 00000000,                63838,                  167
0b, 9ec9c03d, 61363fc2,                63984,                  146
0b, 00000000, 00000000,                64154,                  170
07, ae68305c, 5197cfa3,                64298,                  144
07, 00000000, 00000000,                64468,                  170
19, 433e9786, bcc16879,                64618,                  150
19, 00000000, 00000000,                64786,                  168
10, da058ab4, 25fa754b,                64932,                  146
10, 00000000, 00000000,                65099,                  167
0c, 9622502c, 69ddafd3,                65249,                  150
0c, 00000000, 00000000,                65416,                  167
0a, 03e9b707, fc1648f8,                65561,                  145
0a, 00000000, 00000000,                65731,                  170
08, 0895f911, f76a06ee,                65877,                  146
08, 00000000, 00000000,                66044,                  167
13, a5e79e4b, 5a1861b4,                66191,                  147
13, 00000000, 00000000,                66361,                  170
03, 76295bec, 89d6a413,                66507,                  146
03, 00000000, 00000000,                66677,                  170
09, 520eefa4, adf1105b,                66823,                  146
09, 00000000, 00000000,                66991,                  168
1f, 9ca70439, 6358fbc6,                67139,                  148
1f, 00000000, 00000000,                67309,                  170
07, ea5814d4, 15a7eb2b,                67455,                  146
07, 00000000, 00000000,                67625,                  170
10, 4ea0419d, b15fbe62,                67775,                  150
10, 00000000, 00000000,                67942,                  167
09, 41103982, beefc67d,                68091,                  149
09, 00000000, 00000000,                68259,                  168
00, ecb91ad9, 1346e526,                68405,                  146
00, 00000000, 00000000,                68572,                  167
13, 8e054c1c, 71fab3e3,                68719,                  147
13, 00000000, 00000000,                68889,                  170
0a, 71b461e3, 8e4b9e1c,                69036,                  147
0a, 00000000, 00000000,                69206,                  170
1d, e471f8c8, 1b8e0737,                69356,                  150
1d, 00000000, 00000000,                69524,                  168
04, 1d3f9d3a, e2c062c5,                69673,                  149
04, 00000000, 00000000,                69840,                  167
19, 95a9a82b, 6a5657d4,                69990,                  150
19, 00000000, 00000000,                70158,                  168
12, 897f1c12, 7680e3ed,                70303,                  145
12, 00000000, 00000000,                70473,                  170
10, 2c848959, d37b76a6,                70619,                  146
10, 00000000, 00000000,                70786,                  167
17, b759ea6e, 48a61591,                70930,                  144
17, 00000000, 00000000,                71100,                  170
06, 6d8b87db, 92747824,                71247,                  147
06, 00000000, 00000000,                71417,                  170
00, 5d85d3bb, a27a2c44,                71563,                  146
00, 00000000, 00000000,                71730,                  167
09, 87e44c0f, 781bb3f0,                71876,                  146
09, 00000000, 00000000,                72044,                  168
19, 8653620c, 79ac9df3,                72194,                  150
19, 00000000, 00000000,                72362,                  168
0f, 62fd49c5, 9d02b63a,                72508,                  146
0f, 00000000, 00000000,                72678,                  170
11, 4839e590, b7c61a6f,                72827,                  149
11, 00000000, 00000000,                72995,                  168
17, b4f9a469, 4b065b96,                73138,                  143
17, 00000000, 00000000,                73308,                  170
18, 2523654a, dadc9ab5,                73455,                  147
18, 00000000, 00000000,                73622,                  167
04, 4ddd4d9b, b222b264,                73771,                  149
04, 00000000, 00000000,                73938,                  167
17, 5c78b1b8, a3874e47,                74085,                  147
17, 00000000, 00000000,                74255,                  170
10, c378ee86, 3c871179,                74402,                  147
10, 00000000, 00000000,                74569,                  167
15, 3bed5377, c412ac88,                74715,                  146
15, 00000000, 00000000,                74884,                  169
07, 6a15f5d4, 95ea0a2b,                75030,                  146
07, 00000000, 00000000,                75200,                  170
09, 3b0b9776, c4f46889,                75346,                  146
09, 00000000, 00000000,                75514,                  168
01, 45e28b8b, ba1d7474,                75659,                  145
01, 00000000, 00000000,                75827,                  168
00, 6d808bdb, 927f7424,                75972,                  145
00, 00000000, 00000000,                76139,                  167
05, 611d9fc2, 9ee2603d,                76284,                  145
05, 00000000, 00000000,                76453,                  169
0f, 9827fa30, 67d805cf,                76597,                  144
0f, 00000000, 00000000,                76767,                  170
0f, b302da66, 4cfd2599,                76911,                  144
0f, 00000000, 00000000,                77081,                  170
18, f4d86ee9, 0b279116,                77232,                  151
18, 00000000, 00000000,                77399,                  167
0f, 8376ac06, 7c8953f9,                77546,                  147
0f, 00000000, 00000000,                77716,                  170
15, 70ef37e1, 8f10c81e,                77866,                  150
15, 00000000, 00000000,                78035,                  169
00, f7723eee, 088dc111,                78184,                  149
00, 00000000, 00000000,                78351,                  167
08, f29c5ee5, 0d63a11a,                78498,                  147
08, 00000000, 00000000,                78665,                  167
09, 322f7d64, cdd0829b,                78811,                  146
09, 00000000, 00000000,                78979,                  168
17, f0eeaee1, 0f11511e,                79126,                  147
17, 00000000, 00000000,                79296,                  170
01, 3715156e, c8eaea91,                79444,                  148
01, 00000000, 00000000,                79613,                  169
08, 6a9fb9d5, 9560462a,                79760,                  147
08, 00000000, 00000000,                79927,                  167
0a, 786271f0, 879d8e0f,                80072,                  145
0a, 00000000, 00000000,                80242,                  170
11, 079fc30f, f8603cf0,                80391,                  149
11, 00000000, 00000000,                80560,                  169
0e, be9bbc7d, 41644382,                80708,                  148
0e, 00000000, 00000000,                80877,                  169
1c, f161dce2, 0e9e231d,                81028,                  151
1c, 00000000, 00000000,                81195,                  167
0f, d4b5e6a9, 2b4a1956,                81341,                  146
0f, 00000000, 00000000,                81511,                  170
0f, ade7d05b, 52182fa4,                81655,                  144
0f, 00000000, 00000000,                81825,                  170
19, 25029b4a, dafd64b5,                81975,                  150
19, 00000000, 00000000,                82143,                  168
