00000000, ffffffff, 00000000, ffffffff, 0, 1, 00000000, ffffffff, 0, 1,                 3768                 1768
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               163254                 2139
1652d92c, e9ad26d3, 11844923, ee7bb6dc, 0, 1, 27d7224f, d828ddb0, 0, 1,               165884                 2630
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               168012                 2128
ed3af2da, 12c50d25, e5730aca, 1a8cf535, 0, 1, d2adfda4, 2d52025b, 1, 0,               170863                 2851
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               172988                 2125
e844e2d0, 17bb1d2f, 7968bdf2, 8697420d, 0, 1, 61ada0c2, 9e525f3d, 1, 0,               175683                 2695
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               177853                 2170
5f54e5be, a0ab1a41, 20c4b341, df3b4cbe, 0, 1, 801998ff, 7fe66700, 0, 1,               181184                 3331
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               183312                 2128
89aaf013, 76550fec, 3c20f378, c3df0c87, 1, 0, c5cbe38c, 3a341c73, 0, 1,               185356                 2044
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               187496                 2140
db0de0b6, 24f21f49, 75c50deb, 8a3af214, 0, 1, 50d2eea1, af2d115e, 1, 0,               189766                 2270
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               191915                 2149
fda77efb, 02588104, 634bf9c6, 9cb40639, 0, 1, 60f378c1, 9f0c873e, 1, 0,               194384                 2469
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               196546                 2162
1cacb339, e3534cc6, de7502bc, 218afd43, 0, 1, fb21b5f5, 04de4a0a, 0, 1,               198607                 2061
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               200734                 2127
6cc0ffd9, 933f0026, 85d79a0b, 7a2865f4, 1, 0, f29899e5, 0d67661a, 0, 1,               202977                 2243
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               205108                 2131
e154f2c2, 1eab0d3d, 42f24185, bd0dbe7a, 1, 0, 24473448, dbb8cbb7, 1, 0,               207303                 2195
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               209429                 2126
b2a94665, 4d56b99a, 9dcc603b, 62339fc4, 0, 1, 5075a6a0, af8a595f, 1, 0,               211897                 2468
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               214017                 2120
ef8ee4df, 10711b20, bf23327e, 40dccd81, 1, 0, aeb2175e, 514de8a1, 1, 0,               216244                 2227
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               218417                 2173
f96be2f2, 06941d0d, 78d99bf1, 8726640e, 1, 0, 72457ee4, 8dba811b, 1, 0,               220845                 2428
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               222994                 2149
164a572c, e9b5a8d3, 31230762, cedcf89d, 0, 1, 476d5e8e, b892a171, 0, 1,               225178                 2184
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               227298                 2120
f41b7ae8, 0be48517, 4fa1559f, b05eaa60, 1, 0, 43bcd088, bc432f77, 1, 0,               229743                 2445
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               231894                 2151
579485af, a86b7a50, 7c6da9f8, 83925607, 1, 0, d4022fa8, 2bfdd057, 0, 1,               235029                 3135
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               237179                 2150
2ed6355d, d129caa2, cfc4569f, 303ba960, 0, 1, fe9a8bfc, 01657403, 0, 1,               239586                 2407
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               241708                 2122
94f8f429, 6b070bd6, adcbc05b, 52343fa4, 1, 0, 42c4b485, bd3b4b7a, 1, 0,               243956                 2248
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               246080                 2124
e3b912c7, 1c46ed38, a4ae3249, 5b51cdb6, 0, 1, 88674510, 7798baef, 1, 0,               248334                 2254
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               250465                 2131
d2455ea4, 2dbaa15b, ebfec0d7, 14013f28, 1, 0, be441f7c, 41bbe083, 1, 0,               252847                 2382
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               254988                 2141
441a5388, bbe5ac77, 4b212f96, b4ded069, 0, 1, 8f3b831e, 70c47ce1, 0, 1,               257714                 2726
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               259856                 2142
30287f60, cfd7809f, e12ccec2, 1ed3313d, 0, 1, 11554e22, eeaab1dd, 1, 0,               261886                 2030
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               264047                 2161
1b22cd36, e4dd32c9, bb825a77, 447da588, 1, 0, d6a527ae, 295ad851, 0, 1,               266228                 2181
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               268370                 2142
4ae40195, b51bfe6a, 090cdb12, f6f324ed, 0, 1, 53f0dca7, ac0f2358, 0, 1,               270970                 2600
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               273120                 2150
8a9e5815, 7561a7ea, 36e5816d, c91a7e92, 1, 0, c183d983, 3e7c267c, 0, 1,               275625                 2505
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               277750                 2125
62095bc4, 9df6a43b, 0fd28f1f, f02d70e0, 1, 0, 71dbeae4, 8e24151b, 0, 1,               280161                 2411
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               282308                 2147
549b25a9, ab64da56, 42d92f85, bd26d07a, 0, 1, 9774552e, 688baad1, 0, 1,               284281                 1973
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               286413                 2132
c4f9b489, 3b064b76, 2dda595b, d225a6a4, 1, 0, f2d40de5, 0d2bf21a, 0, 1,               289077                 2664
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               291223                 2146
1c302338, e3cfdcc7, 9ff2ae3f, 600d51c0, 0, 1, bc22d177, 43dd2e88, 0, 1,               293674                 2451
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               295812                 2138
24a0b949, db5f46b6, 2c156358, d3ea9ca7, 0, 1, 50b61ca1, af49e35e, 0, 1,               298038                 2226
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               300171                 2133
3582576b, ca7da894, c71a0c8e, 38e5f371, 0, 1, fc9c63f9, 03639c06, 0, 1,               302781                 2610
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               304897                 2116
cda2869b, 325d7964, 7d3599fa, 82ca6605, 0, 1, 4ad82095, b527df6a, 1, 0,               307598                 2701
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               309740                 2142
70e14be1, 8f1eb41e, 39961773, c669e88c, 1, 0, aa776355, 55889caa, 0, 1,               312006                 2266
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               314155                 2149
1ef4853d, e10b7ac2, 9799a82f, 686657d0, 1, 0, b68e2d6d, 4971d292, 0, 1,               316180                 2025
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               318315                 2135
b6925e6d, 496da192, afd8565f, 5027a9a0, 0, 1, 666ab4cc, 99954b33, 1, 0,               320334                 2019
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               322465                 2131
ff9944ff, 0066bb00, 7bf8fdf7, 84070208, 1, 0, 7b9242f7, 846dbd08, 1, 0,               324676                 2211
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               326855                 2179
b8a33071, 475ccf8e, f3091ae6, 0cf6e519, 0, 1, abac4b57, 5453b4a8, 1, 0,               329056                 2201
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               331194                 2138
52f767a5, ad08985a, 14cfc129, eb303ed6, 1, 0, 67c728cf, 9838d730, 0, 1,               333440                 2246
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               335573                 2133
65daf9cb, 9a250634, ed536cda, 12ac9325, 1, 0, 532e66a6, acd19959, 1, 0,               337574                 2001
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               339713                 2139
a603784c, 59fc87b3, da8ae2b5, 25751d4a, 1, 0, 808e5b02, 7f71a4fd, 1, 0,               342401                 2688
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               344552                 2151
94a2ec29, 6b5d13d6, 3cf11979, c30ee686, 0, 1, d19405a2, 2e6bfa5d, 0, 1,               347450                 2898
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               349600                 2150
3834cf70, c7cb308f, e8740cd0, 178bf32f, 0, 1, 20a8dc40, df5723bf, 1, 0,               351831                 2231
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               353982                 2151
7e7da1fc, 81825e03, 55f6adab, aa095254, 0, 1, d4744fa7, 2b8bb058, 0, 1,               356206                 2224
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               358354                 2148
49fd6f93, b602906c, 6e5daddc, 91a25223, 0, 1, b85b1d6f, 47a4e290, 0, 1,               360822                 2468
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               362971                 2149
8c655e18, 739aa1e7, fedf72fd, 01208d02, 1, 0, 8b44d116, 74bb2ee9, 1, 0,               365226                 2255
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               367373                 2147
ef3ce8de, 10c31721, 2b0eed56, d4f112a9, 0, 1, 1a4bd634, e5b429cb, 1, 0,               369416                 2043
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               371558                 2142
92299024, 6dd66fdb, b3d97667, 4c268998, 0, 1, 4603068b, b9fcf974, 1, 0,               374228                 2670
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               376363                 2135
b6e6346d, 4919cb92, 5b6fb9b6, a4904649, 0, 1, 1255ee23, edaa11dc, 1, 0,               378603                 2240
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               380747                 2144
5aa31fb5, a55ce04a, 3cd18779, c32e7886, 0, 1, 9774a72e, 688b58d1, 0, 1,               382944                 2197
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               385076                 2132
f9d09ef3, 062f610c, 4a74bf94, b58b406b, 1, 0, 44455e88, bbbaa177, 1, 0,               387271                 2195
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               389415                 2144
4057c980, bfa8367f, 823f2c04, 7dc0d3fb, 1, 0, c296f585, 3d690a7a, 0, 1,               391570                 2155
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               393711                 2141
c16b9682, 3e94697d, 6dcb69db, 92349624, 1, 0, 2f37005e, d0c8ffa1, 1, 0,               397076                 3365
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               399235                 2159
ede48adb, 121b7524, 6cb0b7d9, 934f4826, 1, 0, 5a9542b5, a56abd4a, 1, 0,               401684                 2449
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               403824                 2140
a3cd9c47, 5c3263b8, bb45e276, 44ba1d89, 0, 1, 5f137ebd, a0ec8142, 1, 0,               406743                 2919
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               408879                 2136
3747016e, c8b8fe91, 5b172db6, a4e8d249, 1, 0, 925e2f25, 6da1d0da, 0, 1,               410972                 2093
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               413120                 2148
dd561cba, 22a9e345, a3071a46, 5cf8e5b9, 0, 1, 805d3700, 7fa2c8ff, 1, 0,               416026                 2906
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               418170                 2144
b8ddbe71, 4722418e, 7bd261f7, 842d9e08, 1, 0, 34b02069, cb4fdf96, 1, 0,               421121                 2951
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               423276                 2155
08da4f11, f725b0ee, da6ebab4, 2591454b, 0, 1, e34909c5, 1cb6f63a, 0, 1,               425714                 2438
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               427873                 2159
7ab7b7f5, 8548480a, 147cd928, eb8326d7, 1, 0, 8f34911e, 70cb6ee1, 0, 1,               430121                 2248
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               432253                 2132
4e15179c, b1eae863, e3c530c7, 1c3acf38, 0, 1, 31da4863, ce25b79c, 1, 0,               434526                 2273
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               436659                 2133
ae8a965d, 517569a2, 8477e408, 7b881bf7, 0, 1, 33027a65, ccfd859a, 1, 0,               439524                 2865
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               441659                 2135
62d1e3c5, 9d2e1c3a, fea7a6fd, 01585902, 1, 0, 61798ac3, 9e86753c, 1, 0,               443918                 2259
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               446057                 2139
ac682658, 5397d9a7, 8e37901c, 71c86fe3, 0, 1, 3a9fb674, c560498b, 1, 0,               448999                 2942
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               451150                 2151
7e0a91fc, 81f56e03, ed3408da, 12cbf725, 1, 0, 6b3e9ad7, 94c16528, 1, 0,               453786                 2636
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               455936                 2150
060aad0c, f9f552f3, 334ea766, ccb15899, 0, 1, 39595472, c6a6ab8d, 0, 1,               457958                 2022
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               460098                 2140
0cf04519, f30fbae6, b9f50473, 460afb8c, 0, 1, c6e5498c, 391ab673, 0, 1,               462118                 2020
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               464247                 2129
d2504ca4, 2dafb35b, 2f3ab35e, d0c54ca1, 0, 1, 018b0002, fe74fffd, 1, 0,               468727                 4480
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               470899                 2172
c8975291, 3768ad6e, 6a8e05d5, 9571fa2a, 0, 1, 33255866, ccdaa799, 1, 0,               473134                 2235
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               475260                 2126
a23d6044, 5dc29fbb, dcf000b9, 230fff46, 1, 0, 7f2d60fe, 80d29f01, 1, 0,               478168                 2908
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               480305                 2137
67be1dcf, 9841e230, 4b273796, b4d8c869, 0, 1, b2e55565, 4d1aaa9a, 0, 1,               482371                 2066
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               484503                 2132
d69de2ad, 29621d52, 13259f26, ecda60d9, 0, 1, e9c381d3, 163c7e2c, 0, 1,               487208                 2705
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               489350                 2142
c2e6ee85, 3d19117a, 3e99837d, c1667c82, 0, 1, 01807202, fe7f8dfd, 1, 0,               492471                 3121
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               494615                 2144
b91dca72, 46e2358d, 43615786, bc9ea879, 0, 1, fc7f21f8, 0380de07, 0, 1,               497290                 2675
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               499403                 2113
89bcdc13, 764323ec, 3f5a9b7e, c0a56481, 1, 0, c9177792, 36e8886d, 0, 1,               501641                 2238
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               503768                 2127
bd70687a, 428f9785, e7c3b6cf, 183c4930, 1, 0, a5341f4a, 5acbe0b5, 1, 0,               506246                 2478
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               508416                 2170
cf7baa9e, 30845561, fd28e4fa, 02d71b05, 1, 0, cca48f99, 335b7066, 1, 0,               510580                 2164
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               512713                 2133
16decb2d, e92134d2, 0b940917, f46bf6e8, 1, 0, 2272d445, dd8d2bba, 0, 1,               514963                 2250
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               517088                 2125
68d2abd1, 972d542e, 43779186, bc886e79, 0, 1, ac4a3d57, 53b5c2a8, 0, 1,               519314                 2226
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               521454                 2140
4c551998, b3aae667, 7a8c59f5, 8573a60a, 1, 0, c6e1738e, 391e8c71, 0, 1,               523529                 2075
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               525654                 2125
887a9610, 778569ef, 949a8a29, 6b6575d6, 1, 0, 1d15203a, e2eadfc5, 1, 0,               527944                 2290
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               530082                 2138
18c6f931, e73906ce, e2e574c5, 1d1a8b3a, 0, 1, fbac6df6, 04539209, 0, 1,               532742                 2660
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               534883                 2141
e87676d0, 1789892f, 25b27b4b, da4d84b4, 1, 0, 0e28f21c, f1d70de3, 1, 0,               537105                 2222
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               539253                 2148
9f82ec3f, 607d13c0, f622e6ec, 09dd1913, 0, 1, 95a5d32b, 6a5a2cd4, 1, 0,               541271                 2018
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               543396                 2125
4cb77d99, b3488266, 2758d14e, d8a72eb1, 0, 1, 74104ee7, 8befb118, 0, 1,               546090                 2694
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               548235                 2145
3bccb377, c4334c88, 549efda9, ab610256, 1, 0, 906bb121, 6f944ede, 0, 1,               550662                 2427
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               552843                 2181
f89beaf1, 0764150e, 070bb90e, f8f446f1, 0, 1, ffa7a3ff, 00585c00, 0, 1,               556412                 3569
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               558570                 2158
e8d6a2d1, 17295d2e, cfd6c09f, 30293f60, 0, 1, b8ad6370, 47529c8f, 1, 0,               560811                 2241
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               562938                 2127
fb80eaf7, 047f1508, 155a1d2a, eaa5e2d5, 1, 0, 10db0822, ef24f7dd, 1, 0,               565648                 2710
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               567816                 2168
daf214b5, 250deb4a, 4f75ff9e, b08a0061, 0, 1, 2a681453, d597ebac, 1, 0,               570720                 2904
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               572879                 2159
b15f7462, 4ea08b9d, bccfa879, 43305786, 0, 1, 6e2f1cdb, 91d0e324, 1, 0,               575078                 2199
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               577220                 2142
548eb7a9, ab714856, 652345ca, 9adcba35, 1, 0, b9b1fd74, 464e028b, 0, 1,               579851                 2631
00000000, 00000000, 00000000, 00000000, 0, 0, 00000000, 00000000, 0, 0,               581981                 2130
ab2c2a56, 54d3d5a9, 35a0c96b, ca5f3694, 1, 0, e0ccf3c2, 1f330c3d, 0, 1,               584458                 2477
